fiscal_year,total_assets,total_liabilities,stockholders_equity,revenue,operating_cashflow,ebit,interest_expense,net_income,total_debt,ebit_is_gross_profit_flag,ticker,cik,sector,entity,debt_to_asset,interest_coverage,debt_to_ebit,cashflow_to_debt,revenue_trend,debt_missing_flag,interest_missing_flag,interest_zero_flag,debt_to_asset_score,interest_coverage_score,debt_to_ebit_score,cashflow_to_debt_score,revenue_trend_score,composite_0_10,composite_score,composite_score_calibrated
2025,5052900000,1109300000,3943600000,8200500000,1295900000,1655700000,,1258400000,125000000.0,False,FAST,815556,SupplyChain,FASTENAL CO,0.0247382691127867,,0.075496768738298,10.3672,0.086734693877551,False,True,False,10.0,,10.0,10.0,7.0,9.571428571428573,95.71428571428572,93.23153191443735
2021,82777000000,58609000000,24168000000,83959000000,10135000000,5857000000,793000000.0,5231000000,19568000000.0,False,FDX,1048911,SupplyChain,FedEx Corporation,0.2363941674619761,7.385876418663304,3.3409595355984294,0.517937448896157,,False,False,False,8.0,8.0,6.0,10.0,,8.111111111111112,81.11111111111113,71.53664381298111
2022,85994000000,61055000000,24939000000,93512000000,9832000000,6245000000,689000000.0,3826000000,19878000000.0,False,FDX,1048911,SupplyChain,FedEx Corporation,0.2311556620229318,9.063860667634252,3.1830264211369097,0.4946171647046987,0.1137817267952214,False,False,False,8.0,10.0,6.0,10.0,7.0,8.600000000000001,86.00000000000001,78.5592849789299
2023,87143000000,61055000000,26088000000,90155000000,8848000000,4912000000,694000000.0,3972000000,19905000000.0,False,FDX,1048911,SupplyChain,FedEx Corporation,0.2284176583317076,7.077809798270893,4.052320846905538,0.4445114292891233,-0.0358991359397724,False,False,False,8.0,8.0,4.0,10.0,5.0,7.4,74.0,61.76902576049553
2024,87007000000,59425000000,27582000000,87693000000,8312000000,5559000000,745000000.0,4331000000,20203000000.0,False,FDX,1048911,SupplyChain,FedEx Corporation,0.2321997080694657,7.461744966442953,3.634286742219824,0.4114240459337722,-0.0273085242083078,False,False,False,8.0,8.0,6.0,10.0,5.0,7.800000000000001,78.0,67.19722896980336
2025,87627000000,59553000000,28074000000,87926000000,7036000000,5217000000,,4092000000,20579000000.0,False,FDX,1048911,SupplyChain,FedEx Corporation,0.2348477067570497,,3.944604178646732,0.3419019388697215,0.0026569965675709,False,True,False,8.0,,6.0,9.0,5.0,7.3571428571428585,73.57142857142858,61.19764393484813
2020,2105396000,947473000,1157923000,952730000,174954000,31172000,9343000.0,22388000,270359000.0,False,HUBG,940942,SupplyChain,"HUB GROUP, INC.",0.1284124221761607,3.336401584073638,8.673136147824971,0.6471173513735441,,False,False,False,8.0,6.0,2.0,10.0,,6.555555555555556,65.55555555555556,50.883292280475125
2021,2437294000,1096980000,1340314000,4232383000,252835000,238457000,7307000.0,171474000,274752000.0,False,HUBG,940942,SupplyChain,"HUB GROUP, INC.",0.1127282962170341,32.63404954153551,1.15220773556658,0.92022988003727,3.442374019921699,False,False,False,8.0,10.0,8.0,10.0,10.0,9.300000000000002,93.00000000000003,89.03745086448069
2022,2810081000,1210479000,1599602000,5340490000,458163000,474721000,7506000.0,356948000,342465000.0,False,HUBG,940942,SupplyChain,"HUB GROUP, INC.",0.1218701524973835,63.24553690381028,0.7214026765194714,1.337838903245587,0.2618163337297214,False,False,False,8.0,10.0,10.0,10.0,9.0,9.600000000000001,96.00000000000001,93.67721544706062
2023,2936047000,1301402000,1634645000,4202585000,422158000,212231000,13435000.0,167528000,350682000.0,False,HUBG,940942,SupplyChain,"HUB GROUP, INC.",0.1194401860733155,15.79687383699293,1.6523599285683994,1.2038199850576876,-0.2130712724862326,False,False,False,8.0,10.0,8.0,10.0,0.0,8.300000000000002,83.00000000000003,74.22068321674399
2024,2868343000,1223346000,1644997000,3946390000,194419000,140291000,,103993000,264362000.0,False,HUBG,940942,SupplyChain,"HUB GROUP, INC.",0.0921654069963041,,1.8843831749720223,0.7354271793979468,-0.0609612893017036,False,True,False,10.0,,8.0,10.0,3.0,8.428571428571429,84.28571428571429,76.06876310798087
2021,44358000000,28255000000,16080000000,3055000000,2262000000,3148000000,326000000.0,2933000000,12494000000.0,False,HUM,49071,Healthcare,HUMANA INC.,0.2816628342125434,9.656441717791411,3.968869123252859,0.1810469025132063,,False,False,False,6.0,10.0,6.0,7.0,,7.611111111111112,76.11111111111111,64.61255268289572
