fiscal_year,total_assets,total_liabilities,stockholders_equity,revenue,operating_cashflow,ebit,interest_expense,net_income,total_debt,ebit_is_gross_profit_flag,ticker,cik,sector,entity,debt_to_asset,interest_coverage,debt_to_ebit,cashflow_to_debt,revenue_trend,debt_missing_flag,interest_missing_flag,interest_zero_flag
2022,43055000000,27685000000,15311000000,4776000000,4587000000,3800000000,401000000.0,2806000000,11126000000.0,False,HUM,49071,Healthcare,HUMANA INC.,0.25841365695041224,9.476309226932669,2.9278947368421053,0.4122775480855653,0.5633387888707038,False,False,False
2023,47065000000,30747000000,16262000000,4033000000,3981000000,4013000000,493000000.0,2489000000,11656000000.0,False,HUM,49071,Healthcare,HUMANA INC.,0.2476574949537873,8.139959432048682,2.904560179416895,0.3415408373369938,-0.15556951423785592,False,False,False
2024,46479000000,30034000000,16375000000,4431000000,2966000000,2562000000,,1207000000,11721000000.0,False,HUM,49071,Healthcare,HUMANA INC.,0.2521784031498096,,4.574941451990632,0.2530500810511049,0.09868584180510775,False,True,False
2025,48909000000,31172000000,17657000000,5833000000,921000000,2704000000,,1188000000,12369000000.0,False,HUM,49071,Healthcare,HUMANA INC.,0.25289823958780594,,4.574334319526627,0.07446034440941063,0.31640713157300837,False,True,False
2021,6794348000,3676532000,3117816000,12168302000,1223898000,1045530000,46251000.0,760806000,945200000.0,False,JBHT,728535,SupplyChain,"J.B. HUNT TRANSPORT SERVICES, INC.",0.13911562963804622,22.605565285074917,0.904039099786711,1.2948561151079137,,False,False,False
2022,7787000000,4119814000,3666768000,14813999000,1776882000,1331553000,51249000.0,969351000,1261700000.0,False,JBHT,728535,SupplyChain,"J.B. HUNT TRANSPORT SERVICES, INC.",0.16202645434698856,25.982028917637418,0.9475402030561307,1.408323690259174,0.2174253235989705,False,False,False
2023,8588000000,4484390000,4103758000,12829665000,1744618000,993196000,65933000.0,728287000,1326100000.0,False,JBHT,728535,SupplyChain,"J.B. HUNT TRANSPORT SERVICES, INC.",0.15441313460642758,15.063716196745181,1.3351845959911237,1.3156006334363923,-0.13394992128729044,False,False,False
2024,8312270000,4297765000,4014505000,12087204000,1483156000,831225000,79020000.0,570886000,977700000.0,False,JBHT,728535,SupplyChain,"J.B. HUNT TRANSPORT SERVICES, INC.",0.11762129959686103,10.519172361427486,1.176215826039881,1.5169847601513757,-0.057870645882024174,False,False,False
2025,7927155000,4362070000,3565085000,11999096000,1678272000,865069000,,598282000,766938000.0,False,JBHT,728535,SupplyChain,"J.B. HUNT TRANSPORT SERVICES, INC.",0.09674820285461808,,0.8865628059727028,2.1882759753721945,-0.007289361543000306,False,True,False
2021,48662000000,39112000000,9576000000,30737000000,6815000000,-158000000,106000000.0,-77000000,12410000000.0,False,KR,56873,Retail,Kroger Co.,0.255024454399737,-1.490566037735849,-78.54430379746836,0.5491539081385979,,False,False,False
2022,49086000000,39657000000,9452000000,137888000000,6190000000,3477000000,571000000.0,1655000000,11745000000.0,False,KR,56873,Retail,Kroger Co.,0.23927392739273928,6.089316987740806,3.3779119930974977,0.5270327799063431,3.4860591469564373,False,False,False
2023,49623000000,39609000000,10042000000,148258000000,4498000000,4126000000,535000000.0,2244000000,11292000000.0,False,KR,56873,Retail,Kroger Co.,0.2275557705096427,7.7121495327102805,2.7367910809500726,0.3983351044987602,0.07520596426084936,False,False,False
2024,50505000000,38904000000,11615000000,150039000000,6788000000,3096000000,441000000.0,2164000000,10187000000.0,False,KR,56873,Retail,Kroger Co.,0.2017028017028017,7.020408163265306,3.290374677002584,0.6663394522430549,0.012012842477303165,False,False,False
2025,52616000000,44335000000,8285000000,147123000000,5794000000,3849000000,,2665000000,15909000000.0,False,KR,56873,Retail,Kroger Co.,0.30236049870761744,,4.1332813717848795,0.3641963668363819,-0.01943494691380243,False,True,False
2021,20385400000,10091400000,10273400000,13136100000,3109600000,3048600000,211800000.0,2377300000,5418000000.0,False,LH,920148,Healthcare,LABCORP HOLDINGS INC.,0.2657784492823295,14.393767705382436,1.7772092107852784,0.573938722775932,,False,False,False
2022,20155100000,10039600000,10096600000,11863900000,1955900000,1436500000,179800000.0,1279100000,5340100000.0,False,LH,920148,Healthcare,LABCORP HOLDINGS INC.,0.2649503103432878,7.989432703003337,3.7174382178907064,0.3662665493155559,-0.09684761839510969,False,False,False
2023,16725100000,8834600000,7875000000,12161600000,1327700000,725600000,199600000.0,418000000,5054500000.0,False,LH,920148,Healthcare,LABCORP HOLDINGS INC.,0.302210450161733,3.635270541082164,6.965959206174201,0.26267682263329706,0.025092928969394634,False,False,False
2024,18379000000,10312500000,8052200000,13008900000,1585800000,1086700000,208300000.0,746000000,6331500000.0,False,LH,920148,Healthcare,LABCORP HOLDINGS INC.,0.34449643614995373,5.216994719155065,5.826355019784669,0.25046197583511015,0.06967010919615846,False,False,False
